央视频道,#genre#
CCTV1,https://py.doube.eu.org/ysp/2024078201/600001859
CCTV2,https://py.doube.eu.org/ysp/2024075401/600001800 
CCTV3,https://py.doube.eu.org/ysp/2024068501/600001801
CCTV4,https://py.doube.eu.org/ysp/2024078301/600001814
CCTV5,https://py.doube.eu.org/ysp/2024078401/600001818 
CCTV5+,https://py.doube.eu.org/ysp/2024078001/600001817
CCTV6,https://py.doube.eu.org/ysp/2013693901/600108442 
CCTV7,https://py.doube.eu.org/ysp/2024072001/600004092
CCTV8,https://py.doube.eu.org/ysp/2024078501/600001803 
CCTV9,https://py.doube.eu.org/ysp/2024078601/600004078 
CCTV10,https://py.doube.eu.org/ysp/2024078701/600001805
CCTV11,https://py.doube.eu.org/ysp/2027248701/600001806 
CCTV12,https://py.doube.eu.org/ysp/2027248801/600001807 
CCTV13,https://py.doube.eu.org/ysp/2024079001/600001811 
CCTV14,https://py.doube.eu.org/ysp/2027248901/600001809
CCTV15,https://py.doube.eu.org/ysp/2027249001/600001815 
CCTV16,https://py.doube.eu.org/ysp/2027249101/600098637 
CCTV16(4K),https://py.doube.eu.org/ysp/2027249301/600099502
CCTV17,https://py.doube.eu.org/ysp/2027249401/600001810 
CCTV4K,https://py.doube.eu.org/ysp/2027249501/600002264 
CCTV8K,https://py.doube.eu.org/ysp/2026774101/600156816 
CGTN,https://py.doube.eu.org/ysp/2024181701/600014550 
CGTN法语,https://py.doube.eu.org/ysp/2024181801/600084704 
CGTN俄语,https://py.doube.eu.org/ysp/2024181901/600084758 
CGTN阿拉伯语,https://py.doube.eu.org/ysp/2024182001/600084782 
CGTN西班牙语,https://py.doube.eu.org/ysp/2024182101/600084744 
CGTN外语纪录,https://py.doube.eu.org/ysp/2024182301/600084781 
卫视频道,#genre# 
北京卫视,https://py.doube.eu.org/ysp/2024052703/600002309 
东方卫视,https://py.doube.eu.org/ysp/2024054503/600002483 
江苏卫视,https://py.doube.eu.org/ysp/2024171103/600002521 
浙江卫视,https://py.doube.eu.org/ysp/2024054703/600002520 
湖南卫视,https://py.doube.eu.org/ysp/2024054803/600002475 
湖北卫视,https://py.doube.eu.org/ysp/2024171203/600002508 
广东卫视,https://py.doube.eu.org/ysp/2024060903/600002485 
广西卫视,https://py.doube.eu.org/ysp/2024060703/600002509 
黑龙江卫视,https://py.doube.eu.org/ysp/2024061003/600002498 
海南卫视,https://py.doube.eu.org/ysp/2024055603/600002506 
重庆卫视,https://py.doube.eu.org/ysp/2024061103/600002531 
中国教育电视台1,https://py.doube.eu.org/ysp/2022823801/600171827 
深圳卫视,https://py.doube.eu.org/ysp/2024061303/600002481 
四川卫视,https://py.doube.eu.org/ysp/2024061403/600002516 
河南卫视,https://py.doube.eu.org/ysp/2024059703/600002525 
福建东南卫视,https://py.doube.eu.org/ysp/2024061503/600002484
贵州卫视,https://py.doube.eu.org/ysp/2024061603/600002490
江西卫视,https://py.doube.eu.org/ysp/2024061703/600002503 
辽宁卫视,https://py.doube.eu.org/ysp/2024171303/600002505 
安徽卫视,https://py.doube.eu.org/ysp/2024171403/600002532 
河北卫视,https://py.doube.eu.org/ysp/2024171503/600002493 
山东卫视,https://py.doube.eu.org/ysp/2024171603/600002513 
天津卫视,https://py.doube.eu.org/ysp/2019927003/600152137 
陕西卫视,https://py.doube.eu.org/ysp/2025561103/600190400 
内蒙古卫视,https://py.doube.eu.org/ysp/2025561203/600190401
甘肃卫视,https://py.doube.eu.org/ysp/2025561703/600190408
宁夏卫视,https://py.doube.eu.org/ysp/2025608503/600190737 
山西卫视,https://py.doube.eu.org/ysp/2025560803/600190407 
云南卫视,https://py.doube.eu.org/ysp/2025561303/600190402 
吉林卫视,https://py.doube.eu.org/ysp/2025561503/600190405 
青海卫视,https://py.doube.eu.org/ysp/2025559103/600190406 
西藏卫视,https://py.doube.eu.org/ysp/2025558003/600190403 
新疆卫视,https://py.doube.eu.org/ysp/2019927403/600152138 
兵团卫视,https://py.doube.eu.org/ysp/2025990501/600193252 
国学,https://py.doube.eu.org/ysp/2029360403/600213139
